Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
layer_512_1_conv4_r14,14,14,1,1,1024,2048,1,
layer_512_1_conv1_r14,14,14,1,1,1024,512,1,
layer_512_1_conv2_r14,14,14,3,3,512,512,1,
layer_512_1_conv3_r14,7,7,1,1,512,2048,1,
layer_512_2_conv1_r14,7,7,1,1,2048,512,1,
layer_512_2_conv2_r14,7,7,3,3,512,512,1,
layer_512_2_conv3_r14,7,7,1,1,512,2048,1,
layer_512_3_conv1_r14,7,7,1,1,2048,512,1,
layer_512_3_conv2_r14,7,7,3,3,512,512,1,
layer_512_3_conv3_r14,7,7,1,1,512,2048,1,
fc1000_r14,1,1,1,1,2048,1000,1,
conv1_r15,224,224,7,7,3,64,1,
layer_64_1_conv4_r15,56,56,1,1,64,256,1,
layer_64_1_conv1_r15,56,56,1,1,64,64,1,
layer_64_1_conv2_r15,56,56,3,3,64,64,1,
layer_64_1_conv3_r15,56,56,1,1,64,256,1,
layer_64_2_conv1_r15,56,56,1,1,256,64,1,
layer_64_2_conv2_r15,56,56,3,3,64,64,1,
layer_64_2_conv3_r15,56,56,1,1,64,256,1,
layer_64_3_conv1_r15,56,56,1,1,256,64,1,
layer_64_3_conv2_r15,56,56,3,3,64,64,1,
layer_64_3_conv3_r15,56,56,1,1,64,256,1,
layer_128_1_conv4_r15,56,56,1,1,256,512,1,
layer_128_1_conv1_r15,56,56,1,1,256,128,1,
layer_128_1_conv2_r15,56,56,3,3,128,128,1,
layer_128_1_conv3_r15,28,28,1,1,128,512,1,
layer_128_2_conv1_r15,28,28,1,1,512,128,1,
layer_128_2_conv2_r15,28,28,3,3,128,128,1,
layer_128_2_conv3_r15,28,28,1,1,128,512,1,
layer_128_3_conv1_r15,28,28,1,1,512,128,1,
layer_128_3_conv2_r15,28,28,3,3,128,128,1,
layer_128_3_conv3_r15,28,28,1,1,128,512,1,
layer_128_4_conv1_r15,28,28,1,1,512,128,1,
layer_128_4_conv2_r15,28,28,3,3,128,128,1,
layer_128_4_conv3_r15,28,28,1,1,128,512,1,
layer_256_1_conv4_r15,28,28,1,1,512,1024,1,
layer_256_1_conv1_r15,28,28,1,1,512,256,1,
layer_256_1_conv2_r15,28,28,3,3,256,256,1,
layer_256_1_conv3_r15,14,14,1,1,256,1024,1,
layer_256_2_conv1_r15,14,14,1,1,1024,256,1,
layer_256_2_conv2_r15,14,14,3,3,256,256,1,
layer_256_2_conv3_r15,14,14,1,1,256,1024,1,
layer_256_3_conv1_r15,14,14,1,1,1024,256,1,
layer_256_3_conv2_r15,14,14,3,3,256,256,1,
layer_256_3_conv3_r15,14,14,1,1,256,1024,1,
layer_256_4_conv1_r15,14,14,1,1,1024,256,1,
layer_256_4_conv2_r15,14,14,3,3,256,256,1,
layer_256_4_conv3_r15,14,14,1,1,256,1024,1,
layer_256_5_conv1_r15,14,14,1,1,1024,256,1,
layer_256_5_conv2_r15,14,14,3,3,256,256,1,
layer_256_5_conv3_r15,14,14,1,1,256,1024,1,
layer_256_6_conv1_r15,14,14,1,1,1024,256,1,
layer_256_6_conv2_r15,14,14,3,3,256,256,1,
layer_256_6_conv3_r15,14,14,1,1,256,1024,1,
layer_512_1_conv4_r15,14,14,1,1,1024,2048,1,
layer_512_1_conv1_r15,14,14,1,1,1024,512,1,
layer_512_1_conv2_r15,14,14,3,3,512,512,1,
layer_512_1_conv3_r15,7,7,1,1,512,2048,1,
layer_512_2_conv1_r15,7,7,1,1,2048,512,1,
layer_512_2_conv2_r15,7,7,3,3,512,512,1,
layer_512_2_conv3_r15,7,7,1,1,512,2048,1,
layer_512_3_conv1_r15,7,7,1,1,2048,512,1,
layer_512_3_conv2_r15,7,7,3,3,512,512,1,
layer_512_3_conv3_r15,7,7,1,1,512,2048,1,
fc1000_r15,1,1,1,1,2048,1000,1,
